unique_input_record_identifier,input_title,lookup_key,input_writers,input_performers,database_song_code,database_song_title,database_song_writers
5CUFE1kLTULZ6GvB6hxWRm,Ghetto Starz,GHETOSTARZ,"B. Sandlin,Denzil Miller,Fred Scruggs,James B. Moore,Kurt Walker,Lawrence Smith,R. Rogers,Robert Arthur Ford Jr.,S. Anderson,Sticky Fingaz,T. Kelly,Tyrone Taylor",Onyx,121914997,GHETTO STARZ,ANDERSON/SCRUGGS/TAYLOR/JONES/SANDLIN/SC
6ntvzf9Nphr6qQNV9M77y7,Do My Thing,DOMYTHIN,"Jacob Stiernspetz,Robert Milo",Rob & Jack,141671910,DO MY THING,NS (PERF BY LEE BRASCO FT RAPID)
7lM1UzajLd21s1ZuRfpGgA,Break Up To Make Up,BREAKUPTOMAKEUP,"Kenneth Gamble,Linda Creed,Thom Bell",The Stylistics,NO MATCH,NO MATCH,NO MATCH
4uczldHoOcXmCbyn9K9Z79,Il santo morto,SANTOMORTO,Dario Brunori,Brunori Sas,145648177,IL SANTO MORTO,BRUNORI DARIO
5k2N84tO7V39kmWqMBku1T,Singing Om,SINGINOM,George Harrison,George Harrison,124871928,SINGING OM,HARRISON GEORGE
3yd7CJI7dBtYEu76OrVBO4,Vapen till dom hopplÃ¶sa,VAPENTILDOMHOPLOSA,Robert Hurula,Hurula,152131427,VAPEN TILL DOM HOPPLOSA (SE),ROBERT HURULA
55gN8z0E6r6AAQT1rDJKmO,N'importe quel gars,NIMPORTEQUELGAR,"Julie AubÃ©,Katrine NoÃ«l,Vivianne Roy",Les Hay Babies,146154522,N'IMPORTE QUEL GARS,JULIE AUBE/VIVIANNE ROY/KATRINE NOEL
4B3W3U9Z3PAx1gUhiQYaIP,Romeo And Juliet (Love Theme),ROMEO&JULIET,"Nino Rota,Parti Siae",David Osborne,210070269,ROMEO AND JULIET,ROTA NINO
6JQRfYsQ4gECXZaIq9XflL,Rain Over Kilimantscharo,RAINOVERKILIMANTSCHARO,Steve Mandy,Daniela de Santos,146619320,RAIN OVER KILIMANTSCHARO,STEVE MANDY
66BTx0xlzyEVhYSbWv4VW3,Ain't Got Time,AINTGOTTIME,"Roselle Weaver,Roy Ayers",Roy Ayers Ubiquity,121784693,AIN'T GOT TIME,WEAVER ROSELLE
2sReONNP28tO7YY7PAsTB9,Bad Spirits (Bani),BADSPIRIT,"Dee Dee Bridgewater,KassÃ©-Mady DiabatÃ©",Dee Dee Bridgewater,135226813,BAD SPIRITS (BANI),DIABATE K/GARRETT D
2WtdEW2JY3zh4lJexJRDTs,Velle,VELE,"Desi Crew,Kala Nizampuri",Lakhwinder Wadali,146753697,VELLE (FROM 'SAIYAAN'),KALA NIZAMPURI/DESI CREW
6g83TC6HMgsFYvAQhphYKc,Tooth Fairy,TOOTHFAIRY,Peter von Poehl,Peter von Poehl,136315974,TOOTH FAIRY,POEHL PETER VON
3FH8uxzN56uIBvrejurzCi,"Deivangal Ingae (From ""Anegan"")",DEIVANGALINGAE,"Harris Jayaraj,Kabilan","Harris Jayaraj,Sriram Parthasarathy",147194614,DEIVANGAL INGAE,JAYARAJ J/VAIRAMUTHU K
7uzwzePqx93sDauRFC8pBu,The Lake Wobegon Hymn,LAKEWOBEGONHYMN,Garrison Keillor,Garrison Keillor,NO MATCH,NO MATCH,NO MATCH
74CVaqpAlFgkSCNQrkz65f,Surfin' Safari,SURFINSAFARI,"Brian Wilson,Mike Love",Jan & Dean,101418620,SURFIN SAFARI,WILSON B/LOVE M
7F0NriJNf3d0MN1qu9dzZt,It Must Have Been Love,ITMUSTHAVEBEENLOVE,Per Gessle,Mark Masri,100217500,IT MUST HAVE BEEN LOVE,GESSLE PER HAKAN
68CS9l3vBPG0tsAeVjSV44,Little Deuce Coupe (Mono),LITLEDEUCECOUPE,"Brian Wilson,Roger Christian",The Beach Boys,100631534,LITTLE DEUCE COUPE,CHRISTIAN R/WILSON B
4RhekQNNxA2yAqkKhydaQo,Wonderful Maker,WONDERFULMAKER,"Chris Tomlin,Matt Redman",Chris Tomlin,132676560,WONDERFUL MAKER,/REDMAN M/TOMLIN C
3lfTxWNetunmGfEBvGE1K9,Lovechild,LOVECHILD,"Baumgartner,Lahr,Pranyko",De-Phazz,145042817,LOVECHILD,BAUMGARTNER PETER (DE)
5SzqVRrSXbPeUGT5pUjsUo,He Will Break Your Heart,HEWILBREAKYOURHEART,Jerry Butler,Jerry Butler,NO MATCH,NO MATCH,NO MATCH
0ZfLFldhoCYY5McK1ZyLVN,Stand On It,STANDONIT,Bruce Springsteen,Mel McDaniel,100153065,STAND ON IT,SPRINGSTEEN BRUCE
6uzLsVw7NSneF0LAM3onNz,Slipstream,SLIPSTREAM,"C Shakespeare,G Porter",Sherbet,NO MATCH,NO MATCH,NO MATCH
54ijM3PLfwmflMzL3gTXMe,please don't give up on me,PLEASEDONTGIVEUPONME,Olli Suominen,olli,153661513,PLEASE DON'T GIVE UP ON ME,OLLI SUOMINEN
6Xlvt1plyWi2XtgwMuVjRT,In Boxes,INBOXE,"Aurora Aksnes,Edvard FÃ¸rre Erfjord,Henrik Barman Michelsen",AURORA,148084267,IN BOXES,AKSNES A/ERFJORD E/MICHELSEN H
36GlqLI1HidbyM2MejigCz,Be Around,BEAROUND,Michal Martyniuk,After 'Ours,150820547,BE AROUND,MICHAL MARTYNIUK/MICHAL MARTYNIUK
4opHu54LNM02cZBJdrTlrD,Brooklyn Love,BROOKLYNLOVE,"Kronlund,Robinson","Anna Brooks,Brooklyn Funk Essentials,Desmond Foster",149020876,BROOKLYN LOVE,ROBINSON/KRONLUND
5jgHQfMXmSu4hx8bXxKW0n,You'll Be In My Heart,YOULBEINMYHEART,Phil Collins,Celtic Woman,118768620,YOU'LL BE IN MY HEART,COLLINS PHILLIP DAVID CHARLES
0E1JWnV8GQBKP6ASutH49L,Summer Breeze,SUMERBREEZE,"Gunter Gerl,Vincenzo Ragone",Vincenzo,NO MATCH,NO MATCH,NO MATCH
0hFwmmJgNa3dPF4t9bmlRb,Shuckin' Sugar,SHUCKINSUGAR,Jefferson,Wizz Jones,151348465,SHUCKIN' SUGAR,JEFFERSON
5nAsQUkBZpPXUByLBune0f,Finis les,FINI,"Alonzo,Benjamin Costecalde",Alonzo,148897990,F.I.N.I,JANSSENS T/TSHIANI B/BRYCE M
2ZHuQYIi971HfdtVikOVVP,I'm So Hot for You,IMSOHOTFORYOU,B. Orlando,Bobby O,115690797,IM SO HOT FOR YOU,ORLANDO ROBERT PHILLIP
7lEJ8WNvXX11pS5vVZHnFI,Seksa,SEKSA,Saari Amri,Datuk Sharifah Aini,149558160,SEKSA,SAARI AMRI
22f7qyXI4Ra0ypejTl3h3h,Cruise Control,CRUISECONTROL,"Andrew Godwin,Corbray Sean,Derrick Wadsworth,Jason Linquist,Mark Garza",Embodyment,133449901,CRUISE CONTROL,WADSWORTH/COBRAY/LINQUIST/GODWIN/GARZA
6SvpYxDBNdGpMescXqPRML,Un Uomo Diverso,UOMODIVERSO,"Alessandro Ciuffetti,Francesco De Benedittis,Francesco GazzÃ¨,Max GazzÃ©",Max GazzÃ©,149146931,UN UOMO DIVERSO,FRANCESCO DE BENEDITTIS/FRANCESCO GAZZE/
5g2FD6C9187XBxyUkIPXI6,Move to Bremerton,MOVETOBREMERTON,Michael Arthur Herrera,MxPx,NO MATCH,NO MATCH,NO MATCH
4j0RSHgte6Q37dET4402zl,Dirt Bike,DIRTBIKE,"John Flansburgh,John Linnell,Wilbur Pauley",They Might Be Giants,108477722,DIRT BIKE,LINNELL J/FLANSBURGH J
5AtWnHvZLuOIJGLi7vd6N9,Making Love Out Of Nothing At All,MAKINLOVEOUTOFNOTHINATAL,Jim Steinman,"Andrew Polec,Christina Bennington",100260896,MAKING LOVE OUT OF NOTHING AT ALL,STEINMAN JAMES RICHARD
59yBszMHZVBwpmoATwLYlk,I Wonder (Live 1961),IWONDER,"Pvt. Cecil Gant,Roosevelt Sykes",Ray Charles,104015196,I WONDER,GANT C/LEVEEN R
05dwNAqhI33dDdl6O1HXKj,M'innamoro di te,MINAMORODITE,Dario Farina,Ricchi E Poveri,100434738,M INNAMORO DI TE,FARINA D/MINELLONO C
1UYfeo5RWoJqToShNR7z90,Everything To Me,EVERYTHINTOME,Jacob Hemphill,SOJA,120895679,EVERYTHING TO ME,JACOBSEN KAREN ELISABETH
5xpCvHcPwM6vRKgnZoCMM0,My Little Suede Shoes,MYLITLESUEDESHOE,Charlie Parker,J.J. Johnson,100310023,MY LITTLE SUEDE SHOES,PARKER CHARLIE (USA)
65QSX3J0dpedyim10KFcqD,Ein paar Runden,PARRUNDEN,"Kurt EbelhÃ¤user,Sascha Madsen,Sebastian Madsen",Madsen,153607618,EIN PAAR RUNDEN,EBELHAEUSER K/MADSEN S/MADSEN S
7olpGfJNBUY2FMfEgKkRL9,Renaissance,RENAISANCE,Toni Mudrack,Teesy,NO MATCH,NO MATCH,NO MATCH
0R98xUB64hLacrTOhLtdJ0,Renegade,RENEGADE,Gary Richards,Destructo,NO MATCH,NO MATCH,NO MATCH
3tteVlYj7b3DtrRIeKXwIX,We Rise Again,WERISEAGAIN,"Eugene Hutz,Eugene Hutz,Michael Ward,Oliver Charles,Pedro Erazo-Segovia,Sergey Ryabtsev,Thomas Gobena,Yury Lemeshev",Gogol Bordello,142667507,WE RISE AGAIN,CHARLES/RYABTZEV/GOBENA/ERAZO-SEGOVIA/LE
0bcJNyPGEqSJ26jdD1QFGF,Mercy Tree,MERCYTREE,"Krissy Nordhoff,Michael Neale",Lacey Sturm,NO MATCH,NO MATCH,NO MATCH
1NsbdxXsMS3m8Q79P6GWLo,...calling,CALIN,Nonchalant Savant,Nonchalant Savant,153591494,CALLING,NONCHALANT SAVANT
5zM3K85G6XQ1NWTiMB37Zv,Choose That One,CHOOSETHATONE,"James Shearman,Patrick Doyle",Patrick Doyle,147526269,CHOOSE THAT ONE,DOYLE PATRICK
5Unqje8E2DNjcSD0VKJvYu,I Love You So Much,ILOVEYOUSOMUCH,"F. Washington,Leonard Caston,Sugar Pie DeSanto",Sugar Pie DeSanto,130287577,I LOVE YOU SO MUCH,CASTON L/DE SANTO S
3LkiH06MgIdAeWQyF5LMzH,"Bro, bro breja",BROBROBREJA,"Tomas Blank,Traditionell","GÃ¶teborgs Symfonietta,Tomas Blank",NO MATCH,NO MATCH,NO MATCH
2eK4surM0e3FMluNE9hqMR,Anonymous,ANONYMOU,DJ Emerson,DJ Emerson,147201247,ANONYMOUS,DJ EMERSON
31HrK1wyC3VvptHdj9JXvB,Electric Blues / Old Fashioned Melody,ELECTRICBLUESOLDFASHIONED,"Galt MacDermot,Gerome Ragni,Jim Rado,Tom Pierson","Galt MacDermot,Tom Pierson",135716363,ELECTRIC BLUES/OLD FASHIONED MELODY,TOM PIERSON/GALT MACDERMOT
2aLxKSzpkAZfNQ7cmrXiyj,Unconditional Love,UNCONDITIONALLOVE,"Chris Cresswell,Jon Darbey,Paul Ramirez,Scott Brigham",The Flatliners,NO MATCH,NO MATCH,NO MATCH
0zhkuIQ4345YbKjAmYkAr2,Chewin' Mi Mic,CHEWINMIMIC,"Bab Lee,El Kady,RAUX,erdeven,sevret,wauthier",Zenzile,149512307,CHEWIN MI MIC,BABLEE/EL-KADY/ERDEVEN/RAUX/SEVRET/WAUTH
4jpaa5BZdOtVgzKNyVxSM2,Sonnet for Stevie,SONETFORSTEVIE,Mark Turner,"Baptiste Trotignon,Mark Turner",146265957,SONNET FOR STEVIE,TURNER MARK FREMONT
5I6d1gfpbEkJTewRNynxnQ,Onde o Nordeste Garoa,ONDEONORDESTEGAROA,Onildo Almeida,Luiz Gonzaga,130085886,ONDE O NORDESTE GAROA,ONILDO ALMEIDA ONILDO ALMEIDA
5wvV1kJoSILDqdOTSFmoKA,Moon Dust,MOONDUST,Ilya Lipkin,The Re-Stoned,138065555,MOON DUST (LAPM@144),ALEXEEFF VICTOR NORMAN
4Tzh40NrdibXC2Nb0gZ9Wl,Jackie,JACKIE,"Gerard Jouannest,Jacques Brel,Mort Shuman",Scott Walker,102182094,JACKIE (ENGLISH VERSION),JOUANNEST G/BREL J/SHUMAN M
1TSFiM4D3tyx6L7GD3c6Ph,Early Morning,EARLYMORNIN,TreeHouse 707,TreeHouse 707,153660431,EARLY MORNING,TREEHOUSE 707
41v7FqRpYIwdr65IGoQRbH,Beni Benimle BÄ±rak,BENIBENIMLEBIRAK,"Ibrahim Ferman Akgul,YaÄmur SarÄ±gÃ¼l",Ãmit Besen,141007793,BENI BENIMLE BIRAK,YAGMUR SARIGUL
2DuLCNjIszZ3g5B4XE8ONy,Surround Me with Your Love,SUROUNDMEWITHYOURLOVE,"Per A. Bertheussen,Per Martinsen,Svein Hansen",Blank & Jones,135432589,SURROUND ME WITH YOUR LOVE (PLANET NORD MIX),PER ARNE BERTHEUSSEN/PER MARTINSEN
0MkayFomiiea3ngp05amTn,Vizine (Freestyle),VIZINE,Bousmara Division NÂ°1,Bousmara Division NÂ°1,154653099,VIZINE (FREESTYLE),BOUSMARA DIVISION NO1
02fenXEY9TV3lKW33j5ipA,School's Out,SCHOOLSOUT,"A.Cooper,D.Dunaway,G.Buxton,M.Bruce,N.Smith",Buttmunch and The Great Cornholio,107526722,SCHOOL'S OUT,COOPER/BRUCE/SMITH/BUXTON/DUNAWAY
0S7kfXOe4pbR1Wrkby1hGz,Malacoda,MALACODA,Caspian,Caspian,154376852,MALACODA,CASPIAN
78xYQbFUcYComSOzBpo3WT,Bimbo Satellite,BIMBOSATELITE,Chris Joss,Chris Joss,145818029,BIMBO SATELLITE,CHRIS JOSS
7FvJQy0fu6b8nEWwcgcHT3,"Old Norwegian Romance, Op. 51: I. Poco tranquillo",OLDNORWEGIANROMANCEOP51IP,Edvard Grieg,"Edvard Grieg,Philharmonia Orchestra",NO MATCH,NO MATCH,NO MATCH
7zvElHJqPZY4CGc3tprlwR,Fish And Mice,FISH&MICE,Holly Throsby,Holly Throsby,140209907,FISH AND MICE,THROSBY HOLLY SARAH
5WWcjsrfnJI43r1ZJbpxqO,The Motorcade,MOTORCADE,Jerry Goldsmith,Jerry Goldsmith,116401337,MOTORCADE,GOLDSMITH JERRY
4hkdtl3xpE5MGJajzRgiZA,Toccata II,TOCATAII,"Rolf Lislevand,Traditional",Rolf Lislevand Ensemble,NO MATCH,NO MATCH,NO MATCH
08pZ47A3mehqQZ5htXkak7,Heavy Love (ASOT 818),HEAVYLOVE,"A. Rata,I. James,K. Sones,M. Vangeli","Andrew Rayel,Max Vangeli",106669852,HEAVY LOVE,ANTONI L/BERGER M
3R4XTOBeXtSbcZ5ujSHmam,Give Me The Roses,GIVEMEROSE,A. P. Carter,Carlene Carter,132934756,GIVE ME ROSES,PATE MARY
5FIfrMB4XPezXNt1zobOwk,I Believe In (feat. Beta Bow),IBELIEVEIN,Taelor Deitcher,Felix Cartal,140861111,I BELIEVE IN (FEAT. BETA BOW),DEITCHER T/GUENTHER/DONNELLY H
1guyHT1SrCFHwfdCvZ8J2x,Introduction: Nothingness,INTRODUCTIONNOTHINGNES,Hayden Calnin,Hayden Calnin,149164855,INTRODUCTION; NOTHINGNESS,CALNIN HAYDEN RICHARD
0kRHPaomykhU8eKJjoTBfO,Red River,REDRIVER,"Guy Fixsen,Margaret Fiedler",Laika,NO MATCH,NO MATCH,NO MATCH
5042gESl3wqaQVAdHglwVz,Taking A Chance On Love,TAKINCHANCEONLOVE,"John LaTouche,Ted Fetter,Vernon Duke",Matt Monro,NO MATCH,NO MATCH,NO MATCH
7t3lzveOldcMW2OkM9756N,Selfie,SELFIE,Babbu Maan,Babbu Maan,149106119,SELFIE,/BABBU MAAN/MAAN TEJINDER SINGH
55ohhJLbz4BTwZ6GzfdbMe,If I Needed You,IFINEEDEDYOU,Townes Van Zandt,"Don Williams,Emmylou Harris",102427567,IF I NEEDED YOU,VAN ZANDT TOWNES JOHN
5jJYJthaXUdkHKmiS6TuXe,"Distance (feat. Joey Bada$$, Issa Gold & Erick The Architect)",DISTANCE,"Erick Elliott,Jo-Vaughn Virginie,Marlon Fung,Powers Pleasant","Beast Coast,Flatbush Zombies,Joey Bada$$",NO MATCH,NO MATCH,NO MATCH
06lGG2WrxIGUoMMQbR3O4Z,Nostradamus,NOSTRADAMU,"Michael Ehninger,Thomas Spitzer",EAV,140993998,NOSTRADAMUS,THOMAS SPITZER
6Yy8nhChB5RxOHftjstcKG,Pashunfruit,PASHUNFRUIT,Gustaf Isaacson,Guustavv,154655105,PASHUNFRUIT,GUSTAF ISAACSON
23RXgB6zTuxiW1GheO5b6t,Suite No. 2 in F Major: Prelude - Allemande - Courante - Bourree - Sarabande - Menuet I & II - Gigue,SUITENO2INFMAJORPRELUDEAL,Silvius Leopold Weiss,Jakob Lindberg,NO MATCH,NO MATCH,NO MATCH
5MGCxdfa80nbBGcqqQWygx,Under the Bridge,UNDERBRIDGE,"Anthony Kiedis,Balzary,Chad Smith,Frusciante,John Frusciante,Keidis,Keidis Balzary,King,McNair,Michael Balzary,Smith",All Saints,133274741,UNDER BRIDGES,/ROPER REESE
1LmkXSQbofMD4JEYqsmZcL,Silence,SILENCE,Michael Geoffrey Underwood,Moral Dilemma,NO MATCH,NO MATCH,NO MATCH
7xLJpKCqPI1LRStBlvmsup,Tommy Bahama,TOMYBAHAMA,Myles Parrish,Myles Parrish,152179211,TOMMY BAHAMA,MYLES PARRISH
6VFmgcvCbfgoS63SfrBlgg,"You Did It, You Did It",YOUDIDITYOUDIDIT,Rahsaan Roland Kirk,"Rahsaan Roland Kirk,Roland Kirk Quartet",102086696,YOU DID IT YOU DID IT,KIRK ROLAND
5ZTgFaoPKdJZa7EvAXXYcy,Melkweg Bass,MELKWEGBAS,Liam Mclean,Joker,153886355,MELKWEG BASS,LIAM MCLEAN
2fCJg4P5QlKNecepq5zo22,S'posin',SPOSIN,Paul Denniker,Nelson Riddle,100658829,SPOSIN',DENNIKER P/RAZAF A
4GMAyVjTpL9vgKd7aZJkSd,Indigo,INDIGO,Plusma,Plusma,152818016,INDIGO,PLUSMA
5dOuPV9NHt5uWqxvhVbA0n,Bald Butte,BALDBUTE,Colter Wall,Colter Wall,152108675,BALD BUTTE,WALL COLTER BRADLEY
1tpcdO2cqYuY0EsqvxZazE,La Violetera,VIOLETERA,"Eduardo Montesinos,Jose Padilla Sanchez",Dalida,101460588,VIOLETERA (ORIGINAL VERSION),PADILLA-SANCHEZ J/MONTESINOS L
0BaUwLv2lSBwIwGTzjgIXR,Frank,FRANK,Chris Matthews,Headless Chickens,102767975,FRANK,MATTHEWS CHRISTOPHER STEPHEN
2WyUzDQjzQfPMz1EGsjLw2,Operation New Me,OPERATIONNEWME,"Chris McKay,Jamil Kazmi,Jared Gutstadt,Jeff Peters,Taka Moriuchi",Jingle Punks,153072633,OPERATION NEW ME,MORIUCHI/JAMIL/MCKAY/GUTSTADT/PETERS
00qSzFGT8c6Om96MRK3uSt,Mama Raised Me,MAMARAISEDME,"Calvin Broadus,Daryl Anderson,Percy Miller,Soulja Slim",Master P,119457963,MAMA RAISED ME,BROADUS C/ANDERSON D/MILLER P/TAPP J
745RHtUOB8KIetZUqQ4zEZ,Leave a Light On (feat. Tom Walker),LEAVELIGHTON,"Steve Mac,Tom Walker",Red Hot Chilli Pipers,145647270,LEAVE LIGHT ON,TOVICH/STEWART/STEWART/SPOUSE/ROBINSON/K
2dAiHAa3buEDWlj0uyBDBc,Donalina,DONALINA,Aviv Cohen,Sol Monk,149026102,DONALINA,AVIV COHEN
5faqpitzDhJKv3huL8nJhp,Wetin We Gain,WETINWEGAIN,Victor AD,Victor AD,154575604,WETIN WE GAIN,VICTOR AD
5pJ4txCueCm3vSLHp2tx3A,What You Do,WHATYOUDO,Michael Brigante,Attonbitus,133740725,WHAT YOU DO,BRIGGS RILEY GORDON
4OEpeTynFu4UgdkspM3WzC,Oboe Concerto in C Minor: Adagio,OBOECONCERTOINCMINORADAGI,Georg Philipp Telemann,Sarah Francis,NO MATCH,NO MATCH,NO MATCH
0XD8PIk6ZPrvuOZI8kZON0,Some Fun Now,SOMEFUNNOW,"Alan Menken,Howard Ashman","Michelle Weeks,Tichina Arnold,Tisha Campbell",101698377,SOME FUN NOW,ASHMAN H/MENKEN A
5QlmJpzQ2SyTP54loicFyQ,Three Four,THREEFOUR,"Ben Cullum,Karl Clive Gordon,Shaznay Lewis",All Saints,NO MATCH,NO MATCH,NO MATCH
2XRyW3Kbd7ln1b78CJ0U5u,Offering,OFERIN,Ara Dinkjian,Ara Dinkjian,125957604,SKIES KE HROMATA,DINKJIAN A/GANAS M
5NSxCIccne0LGgtEw5egrr,Crazy Beat,CRAZYBEAT,"Fallin,Rhodes",Gene Vincent,135407705,CRAZY BEAT,RHODES J/FALLIN J
1XoJocoi2Kz18kqFgZVWDN,Free My Way,FREEMYWAY,Ian Brown,Ian Brown,NO MATCH,NO MATCH,NO MATCH
7p1kmc8AVgYHKLxDnGIY2H,You Can't Outrun 'Em,YOUCANTOUTRUNEM,Jenny Lewis,Jenny Lewis,141064988,YOU CAN'T OUT RUN EM,LEWIS JENNY DIANE
6Oo0MdVI6g6732qbg8ad6x,Honeysuckle,HONEYSUCKLE,"Barry Dean,Hillary Lindsey,busbee",Carly Pearce,152551943,HONEYSUCKLE,BUSBEE M/LINDSEY H/DEAN B
6P54hhvnaS5kM9nv5tHocS,Hard Headed Woman,HARDHEADEDWOMAN,Claude De Metrius,Elvis Presley,102883048,HARD HEADED WOMAN,/DE-METRUIS CLAUDE
0kr4qhkSAiBEOvT1aoBcY6,Eenie Meenie,EENIEMEENIE,"Michael Sembello,Raymond Pounds",Jeffrey Osborne,100299976,EENIE MEENIE (MINIE MO),SEMBELLO M/POUNDS R
4Z9z2jL0LO1ikTYUZmBAtK,Besame Mucho,BESAMEMUCHO,"Skylar,VelÃ¡zquez",Francis Goya,152997190,BESAME MUCHO (GB),SKYLAR/VELAZQUEZ DE RIVERA
50yv11h0Rm8BuSdFNTsX60,A Father of Very Little Brain,FATHEROFVERAYLITLEBRAIN,"Bruce Fowler,David Slonaker,Ed Trybek,Edgardo Simone,Geoff Zanelli,Jennifer Hammond,Jon Brion,Kevin Kaska,Philip Klein,Rick Giovinazzo,Steve Bartek,Yvonne S. Moriarty","Geoff Zanelli,Jon Brion",NO MATCH,NO MATCH,NO MATCH
5HgXSKXtmhbkwyw9T1s7dP,Love You For Life,LOVEYOUFORLIFE,"Curtis D. Harmon,Eddie Baccus,Jr.,Michael (Antonio) Thornton",Pieces Of A Dream,134340628,LOVE YOU FOR LIFE,HARMON C/THORNTON M/BACCUS E
7muB8MHe9LwtFybCLk043k,Quero Um Baby Seu,QUEROUMBABYSEU,"Luiz Carlos Siqueira,Paulo Zdanowski",Caetano Veloso,134739884,QUERO UM BABY SEU,ZDANOWSKI P/SIQUEIRA L
6suUkCbptTEFsUDGqfYrkC,Come Back Baby,COMEBACKBABY,Kate McGarrigle,Kate & Anna McGarrigle,139113106,COME BACK BABY,MCGARRIGLE KATE
6jOuqpHYidc4HpnRwr6nRr,Sonata no. 14 in G major: III. Andante cantabile,SONATANO14INGMAJORIIIANDA,Giuseppe Tartini,Luigi De Filippi,149137591,SONATA NO. 14 IN G MAJOR: III. ANDANTE CANTABILE,GIUSEPPE TARTINI
0jwgNSJVOYiZwbhsnUfBPt,The Hand,HAND,Paula Frazer,Tarnation,124310011,THE HAND,FRAZER PAULA
788cpxNtwjpKlq6W4mgvDK,Unchained Melody,UNCHAINEDMELODY,"Alex North,Barry Manilow,Bill Ross,Hy Zaret,Walter Afanasieff",Barry Manilow,NO MATCH,NO MATCH,NO MATCH
59qNxfwZVsasBB9qcPhmIM,Disseminate,DISEMINATE,"Bill Leeb,Rhys Fulber",Front Line Assembly,138256676,DISSEMINATE,LEEB B/FULBER R
3K6Qgi5BlNP9J3ZcotMZMG,Road Less Traveled,ROADLESTRAVELED,Kevin Yost,Kevin Yost,133272841,ROAD LESS TRAVELLED,YOST KEVIN
7gwtPl068Bd2kYGXwMNa64,Don't You Dream,DONTYOUDREAM,"Beresford Romeo,Charlotte Kelly",Soul II Soul,NO MATCH,NO MATCH,NO MATCH
7FaYqYa8EBuDx84rFDO9vW,Long Live Our Love,LONGLIVEOURLOVE,"Jerome Louis Jackson,Sidney Barnes",The Shangri-Las,111126924,LONG LIVE OUR LOVE,JACKSON J/BARNES S
1T3vZiFuqP0jeKYODA9cPW,Caliente,CALIENTE,"Andy Kaufhold,Jaspa Jones,Piet Blank",Blank & Jones,152192476,CALIENTE,JONES J/KAUFHOLD A/BLANK P
5YAjpn3NzhdXBxYL5cGy89,Hello,HELO,Richie,Francis Goya,152434118,HA LUO,/RICHIE L/TR/LAM C
57glJwCgaO15nGDw8L24tJ,El Mercado,MERCADO,Alex Rodriguez,Alex Rodriguez,151393355,EL MERCADO,ALEX RODRIGUEZ
2JrPYgybHbfNq1GLrAfubI,"Love Theme from ""The Godfather""",LOVETHEMEFROMGODFATHER,Nino Rota,Andre Kostelanetz & His Orchestra,138917053,LOVE THEME FROM GODFATHER,ROTA
33HCg2N6H6ZSrzHq9lU0dN,Satanic Barbarism,SATANICBARBARISM,"Brian Malone,Eric Hersemann",Diabolic,136768349,SATANIC BARBARISM,MALONE B/HERSEMANN E
52ctAVW37gpbNcVRJ6bT0A,Sirens,SIREN,Gabe Dixon,Gabe Dixon,NO MATCH,NO MATCH,NO MATCH
6zITIkNO0vAoEtvM9ZEFpM,Hanging Around,HANGINAROUND,Gemma Hayes,Gemma Hayes,129640762,HANGING AROUND,HAYES GEMMA CLAIRE
